Timeline,Start time,Duration,Row,Instance number,#0 LaBaron Philon,#15 Noah Williamson,#22 Aiden Sherrell,#31 Jack Fagan,#32 Jacob Martin,#34 Collins Onyejiaka,#4 Davion Hannah,#5 Amari Allen,#6 London Jemison,#7 Taylor Bol Bowen,#95 Houston Mallette,2FG (Defenders),2FG (Dribble),2FG (Feet),2FG (Hands),2FG (PA),2FG (RA),2FG (Type),2FG Scheme (Attack),2FG Scheme (Drive),2FG Scheme (Pass),3FG (Balance),3FG (Contest),3FG (Footwork),3FG (Line),3FG (Move),3FG (Pocket),3FG (Shrink),3FG (Type),3FG Scheme (Attack),3FG Scheme (Drive),3FG Scheme (Pass),ACTION,ATO Plays,Assist (Defenders),Assist (Feet),Assist (Hand),Assist (Jump),Assist (Paint),Assist Type,COVERAGE,DEFENSIVE LABELS,FT BELOW,GAME,GAME SPLITS,OPP STATS,PAINT TOUCHES,PLAYCALL,PLAYER POSSESSIONS,POSITION,POSSESSION START,POSSESSION TYPE,SERIES,SHOT CLOCK,SHOT CLOCK PT,Shot Location,Shot Possession Type,TEAM,TO (Defenders),TO (Feet),TO (Hand),TO (Jump),TO (Paint),TO LB/DB,TO Scheme,TO Scheme (Attack),TO Scheme (Drive),TO Scheme (Non-Pass),TO Scheme (Pass),TO Type,Ungrouped,Notes,Flags
25_11_03 ALABAMA VS NORTH DAKOTA,2445.95616,7,#7 Taylor Bol Bowen,11,,,,,,,,,,Turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,3812.594861,7,#7 Taylor Bol Bowen,12,,,,,,,,,,"ATRF, Fouled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,4799.680615,7,#7 Taylor Bol Bowen,13,,,,,,,,,,Fouled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5008.528328,9,#7 Taylor Bol Bowen,14,,,,,,,,,,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5029.001348,9,#7 Taylor Bol Bowen,15,,,,,,,,,,Def Reb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5035.909167,7,#7 Taylor Bol Bowen,16,,,,,,,,,,ATR-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5799.252259,7,#7 Taylor Bol Bowen,17,,,,,,,,,,Turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5800.825413,9,#7 Taylor Bol Bowen,18,,,,,,,,,,Deflection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","8:00 - 4:00, 2nd Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5916.599915,9,#7 Taylor Bol Bowen,19,,,,,,,,,,Def Reb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","8:00 - 4:00, 2nd Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,6007.720434,9,#7 Taylor Bol Bowen,20,,,,,,,,,,Def Reb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","8:00 - 4:00, 2nd Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,245.597291,7,#0 LaBaron Philon,1,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,268.2822975,7,#0 LaBaron Philon,2,"Fouled, ATRF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,268.2822975,7,#0 LaBaron Philon,3,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,329.5501218,7,#0 LaBaron Philon,4,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,350.6807775,7,#0 LaBaron Philon,5,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,387.5147214,9,#0 LaBaron Philon,6,Deflection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","20:00 - 16:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,390.6980548,9,#0 LaBaron Philon,7,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","20:00 - 16:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,400.5517738,7,#0 LaBaron Philon,8,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,407.1882599,7,#0 LaBaron Philon,9,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,438.2901542,7,#0 LaBaron Philon,10,3FG+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,481.5806334,7,#0 LaBaron Philon,11,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,814.937405,7,#0 LaBaron Philon,12,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,912.012979,7,#0 LaBaron Philon,13,Turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1074.758442,7,#0 LaBaron Philon,14,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1095.399518,9,#0 LaBaron Philon,15,Def Reb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","16:00 - 12:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1104.306928,7,#0 LaBaron Philon,16,3FG+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1152.7454,7,#0 LaBaron Philon,17,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1524.688839,7,#0 LaBaron Philon,18,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1574.099307,7,#0 LaBaron Philon,19,Turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1600.760681,7,#0 LaBaron Philon,20,2nd Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1658.957676,9,#0 LaBaron Philon,21,Def Reb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","12:00 - 8:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1665.80889,7,#0 LaBaron Philon,22,Fouled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1950.372427,7,#0 LaBaron Philon,23,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,2055.960736,9,#0 LaBaron Philon,24,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","8:00 - 4:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,2097.684075,7,#0 LaBaron Philon,25,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,2165.243248,7,#0 LaBaron Philon,26,2FG+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,2530.745273,9,#0 LaBaron Philon,27,Def Reb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","4:00 - 0:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,2537.77191,7,#0 LaBaron Philon,28,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,2577.473055,7,#0 LaBaron Philon,29,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,3812.480768,7,#0 LaBaron Philon,30,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,3875.420275,7,#0 LaBaron Philon,31,3FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,3900.810889,7,#0 LaBaron Philon,32,3FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,4313.865345,7,#0 LaBaron Philon,33,2nd Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,4333.898757,7,#0 LaBaron Philon,34,Turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,4382.720341,7,#0 LaBaron Philon,35,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5115.345834,7,#0 LaBaron Philon,36,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5330.842576,7,#0 LaBaron Philon,37,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5431.547228,7,#0 LaBaron Philon,38,2FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5460.865195,9,#0 LaBaron Philon,39,Deflection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota","2nd Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5514.492819,7,#0 LaBaron Philon,40,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5584.777926,7,#0 LaBaron Philon,41,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5899.09664,7,#0 LaBaron Philon,42,Turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,5939.24016,7,#0 LaBaron Philon,43,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,6269.184339,7,#0 LaBaron Philon,44,"Fouled, ATRF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,6269.184339,7,#0 LaBaron Philon,45,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,243.2454917,8.733511989,OFF Note,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,264.1707975,11.73941511,OFF Note,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,322.4833945,13.76002591,OFF Note,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,345.7254157,11.94804915,OFF Note,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,396.2836357,18.31516983,OFF Note,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,428.5168332,16.53774753,OFF Note,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,469.0455258,20.06200043,OFF Note,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,543.6700366,15.20132734,OFF Note,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,586.3269746,9.365133252,OFF Note,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,810.1583048,11.42849172,OFF Note,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,861.9919,13.79984187,OFF Note,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,901.1664204,17.7701136,OFF Note,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,964.6322581,27.59953073,OFF Note,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1033.543726,20.96982049,OFF Note,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1066.981233,14.43894792,OFF Note,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1099.311516,12.06174811,OFF Note,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1124.653075,12.98303122,OFF Note,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1147.671161,11.75579989,OFF Note,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1181.541982,15.46982941,OFF Note,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1220.825235,17.98681604,OFF Note,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1428.253783,13.98226074,OFF Note,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1520.773458,12.42801546,OFF Note,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1545.002567,13.62552119,OFF Note,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1569.0079,11.10506896,OFF Note,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_03 ALABAMA VS NORTH DAKOTA,1584.298591,5.488779896,OFF Note,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPORT, vs North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
