Timeline,Start time,Duration,Row,Instance number,#0 LaBaron Philon,#1 Mark Sears,#10 Mo Dioubate,#11 Cliff Omoruyi,#15 Jarin Stevenson,#2 Aden Holloway,#22 Aiden Sherrell,#35 Derrion Reid,#4 Grant Nelson,#45 Max Scharnowski,#8 Chris Youngblood,#95 Houston Mallette,-,2FG (Defenders),2FG (Dribble),2FG (Feet),2FG (Hands),2FG (Other),2FG (PA),2FG (RA),2FG (Type),2FG Scheme (Attack),2FG Scheme (Drive),2FG Scheme (Pass),3&#x27;s GIVEN UP,3FG (Contest),3FG (Footwork),3FG (Good/Bad),3FG (Line),3FG (Move),3FG (Pocket),3FG (Shrink),3FG (Type),3FG Scheme (Attack),3FG Scheme (Drive),3FG Scheme (Pass),ATR GIVEN UP,Assist (Defenders),Assist (Feet),Assist (Hand),Assist (Jump),Assist (Paint),Assist Type,GAME,GAME SPLITS,OPP STATS,PAINT TOUCHES,PLAYCALL,PLAYER POSSESSIONS,POSITION,POSSESSION START,POSSESSION TYPE,READ,SERIES,SHOT CLOCK,SHOT CLOCK PT,Shot Location,Shot Possession Type,TEAM,TERM,TO (Defenders),TO (Feet),TO (Hand),TO (Jump),TO (Paint),TO LB/DB,TO Scheme,TO Scheme (Attack),TO Scheme (Drive),TO Scheme (Non-Pass),TO Scheme (Pass),TO Type,Ungrouped,Notes,Flags
25_01_14 ALABAMA VS OLE MISS,3069.296218006,20.70318997200002,OFF Note,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,3160.835705109,34.9791799339996,OFF Note,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4372.541359898,13.485817639999368,OFF Note,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4417.339772061,10.46284990499953,OFF Note,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4435.54603944,19.196831490000477,OFF Note,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4466.407407565,12.105064381000375,OFF Note,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4485.538969019,11.72613722999995,OFF Note,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4531.730995546,17.692448059000526,OFF Note,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4563.232162747,7.8381644279998,OFF Note,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4617.713350491,23.016600912000285,OFF Note,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4689.0047902,12.08806444000038,OFF Note,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4719.806502595,12.168709343000046,OFF Note,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4736.480653782,13.466347525999481,OFF Note,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4774.923123774,10.755978603000585,OFF Note,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,4798.177501614,17.731421065000177,OFF Note,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5067.625288212,14.492818129000625,OFF Note,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5105.168261265,17.14940426999965,OFF Note,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5149.801334064,12.170802474000084,OFF Note,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5260.793150146,35.13597647500046,OFF Note,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5314.342229846,13.395134772999882,OFF Note,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5376.78404257,18.09930573300062,OFF Note,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5682.727522095,12.69458365600076,OFF Note,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5767.665796312,18.554182604000744,OFF Note,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5792.162083352,28.15607462800017,OFF Note,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,5829.789887331,16.656762221999998,OFF Note,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6077.392195519,10.687209720999817,OFF Note,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6099.443462507,8.264081830000578,OFF Note,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6126.028594891,17.607219469000484,OFF Note,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6210.363161378,18.070256467000036,OFF Note,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6343.239926806,16.277732632000152,OFF Note,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6432.69465176,8.496612089000337,OFF Note,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6490.135235552,7.982573021999997,OFF Note,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6752.607938748,13.004655791000005,OFF Note,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6917.445877395,17.824068173999876,OFF Note,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,6961.833222881,22.044445722999626,OFF Note,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,7041.246481962,18.845621997999842,OFF Note,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,7074.146883764,10.280519458999152,OFF Note,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,7197.251455141,26.58390159499959,OFF Note,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,7242.404770625,15.823490554999808,OFF Note,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,7521.366346563,18.34669827700054,OFF Note,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_01_14 ALABAMA VS OLE MISS,7566.762519681,18.672522433999802,OFF Note,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Ole Miss, Conference, REPORT","2nd Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
